"id_ksiazki","id_autora","tytul","cena_ksiazki","wydawnictwo","miejsce_wydania"
"1","5","Święte Cesarstwo Rzymskie w XV wieku","39.99","Biała Mewa","Polska"
"2","8","Przygody Czerwonych Ludzików","19.99","Nowa Era","Polska"
"3","6","Al Azif - Necronomicon","159.99","الكتب ممنوعة - Księgi zakazane","Arabia Saudyjska"
"4","4","Bastion","49.99","Vespar","Polska"
"5","1","Sukces Chin w XXI wieku","59.99","Chińskie Bajki","Polska"
"6","3","Megastruktura","45.99","PolandCanIntoSpace","Polska"
"7","10","Wpływ NFT i kryptowalut na współczesną ekonomię","59.99","ChcemyPieniędzy","Polska"
"8","2","Herobrine - Początek","2.99","TopNotch","Polska"
"9","7","Into the Dark Millenium","49.99","Black Library","Wielka Brytania"
"10","9","Ostateczne rozwiązanie kwestii aragońskiej","29.99","Świat Historii","Polska"
