"id_zamowienia","id_klienta","id_ksiazki","data_zamowienia","data_wyslania","koszt_wysylki"
"1","9","5","2022-01-18 11:52:04","2022-02-25 07:47:13","5.99"
"2","8","3","2022-02-17 11:55:21","2022-02-28 13:24:43","11.99"
"3","1","4","2022-02-23 13:00:21","2022-02-27 14:20:21","2.99"
"4","3","8","2022-02-23 13:55:21","2022-03-02 09:45:21","20.99"
"5","5","7","2022-01-03 11:55:21","2022-01-12 15:55:21","15.99"
"6","4","10","2021-11-16 14:55:21","2022-07-20 08:41:21","30.99"
"7","6","9","2022-01-18 08:50:21","2022-01-21 12:36:21","2.50"
"8","7","1","2021-10-12 14:46:21","2021-10-22 15:47:21","14.99"
"9","10","6","2022-02-02 14:34:21","2022-02-24 11:43:21","12.99"
"10","2","2","2022-02-14 12:25:21","2022-02-23 11:55:21","5.99"
